URL,Lable,target
https://almuslim.co.uk/wp-admin/adb/index.php?email=abuse@eset.ru,1,Adobe
http://drnarahari.000webhostapp.com/kubi2/phpnet.php?code=2000500,1,Adobe
http://pferdepension-oberndorf.at/adobeCom/36924666a41bd143d7eabc9ffd3ec69d/,1,Adobe
http://davidsimwinga.000webhostapp.com/phpnet.php?code=2000700,1,Adobe
https://tiendadeacuarios.es/pdf/excel.php,1,Adobe
http://trelkionxzcv.000webhostapp.com/u/bsurm/document.html,1,Adobe
http://trelkionxzcv.000webhostapp.com/u/bsurm/datatexthtml.html,1,Adobe
https://www.localtradesadvisor.com.au/net-file/reader/,1,Adobe
http://treiolzxcv.000webhostapp.com/u/bsurm/document.html,1,Adobe
http://treiolzxcv.000webhostapp.com/u/bsurm/datatexthtml.html,1,Adobe
http://netwap002.000webhostapp.com/phpnet.php?code=2000500,1,Adobe
http://trebiovcxz.000webhostapp.com/u/bsurm/datatexthtml.html,1,Adobe
https://ia601507.us.archive.org/7/items/verinumber_20180906_1350/adobe.htm,1,Adobe
http://zinabamirian.000webhostapp.com/adobe/secure_pdf.html,1,Adobe
http://www.expertfreetips.net/2018/07/dream11-predictions.html,1,Adobe
https://psncore.com,1,Adobe
http://www.triedwithfire.com/wp-content/plugins/ubh/hsytret/ODD New/ODD New/ODD,1,Adobe
http://www.triedwithfire.com/wp-content/plugins/ubh/hsytret/ODD New/ODD,1,Adobe
http://monsamsinks.com/old/wp-includes/css/a/pg.php,1,Adobe
http://dinadawinsgt.000webhostapp.com/,1,Adobe
http://flashup2.com,1,Adobe
http://bjhjkjdkjdjd.000webhostapp.com/govern/PDF%20(2)/http/view.php?email=abuse@eset.ru,1,Adobe
https://c2ti.000webhostapp.com/c/,1,Adobe
http://www.gmgchapel.org/wp/wp-content/plugins/sysinfo/css/pdcf/?email=abuse@gmail.com,1,Adobe
http://caswell60.000webhostapp.com/,1,Adobe
http://pay-transfer.000webhostapp.com/,1,Adobe
http://paymen-t-slip-doc.000webhostapp.com/,1,Adobe
http://bronchial-string.000webhostapp.com/purchase_order/purchase_order/document.html,1,Adobe
http://adobemax.000webhostapp.com/,1,Adobe
http://e.uscom.si/wp-content/uploads/8245/will/index.html,1,Adobe
https://nbagamestoday.net/,1,Adobe
http://securedadobe-onlinepdf-files-reader.000webhostapp.com/vector.html,1,Adobe
https://onedrive.live.com/download?cid=889355B8851BA9EA&amp;resid=889355B8851BA9EA%21582&amp;authkey=ALSIE_anGqjerVU,1,Adobe
http://canon.customer-helplinenumber.co.uk/,1,Adobe
http://marketbeauty.ml/textile/PDF/PDF/login.htm,1,Adobe
http://stalky-stoves.000webhostapp.com/purc/purc/document.html,1,Adobe
https://gimadolciumi.com/payment/tor/,1,Adobe
http://downloadflashplayer.pe.hu/,1,Adobe
http://delononline.com/mock/invalid.php,1,Adobe
http://www.holidayinnboston.com/wp-includes/fonts/Adobe/,1,Adobe
http://patykplumbing.com/checkeddetails/jpe/adobCom/,1,Adobe
http://cmarecruits.com/NEW/fud/formfix/form/,1,Adobe
